"# Fields marked with * are required. AMS Asset ID is auto-generated - do not add it here. displayId blank = auto-generated, or type an existing legacy ID.",,,,,,,,,,,,,,,,
displayId,type*,category*,make*,model,name,serialNumber,purchaseSite*,currentSite*,purchaseDate*,warrantyEnd,status,assignedToEmpId,assignedToSubordinateEmpId,vendor,purchaseCost,remarks
PC08SLFA,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,25-02-2021,,In Store,,,,,
PC09SLFA,Desktop,IT Hardware,Hcl,,,B123AC498591,Solapur,Solapur,30-09-2016,,In Store,,,,,
PC10SLHR,Desktop,IT Hardware,Hcl,,,B123AC498582,Solapur,Solapur,19-06-2016,,In Store,,,,,
PC11SLHR,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,06-04-2021,,In Store,,,,,
PC13SLMT,Desktop,IT Hardware,Hcl,,,B123AC498623,Solapur,Solapur,26-04-2021,,In Store,,,,,
PC15SLPD,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,24-03-2022,,In Store,,,,,
PC16SLPD,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,22-06-2020,,In Store,,,,,
PC95SLST,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,29-06-2013,,In Store,,,,,
PC94SLPD,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,05-07-2021,,In Store,,,,,
PC19SLPD,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,23-11-2025,,In Store,,,,,
PC20SLPR,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,19-01-2026,,In Store,,,,,
PC21SLPR,Desktop,IT Hardware,Dell,,,6DCWXM3,Solapur,Solapur,07-05-2015,,In Store,,,,,
PC22SLPS,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,14-01-2021,,In Store,,,,,
PC25SLQC,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,11-06-2018,,In Store,,,,,
PC27SLQC,Desktop,IT Hardware,Assembled,,,NA ,Solapur,Solapur,13-05-2016,,In Store,,,,,
PC28SLQC,Desktop,IT Hardware,Hp,,,4CE309BR51,Solapur,Solapur,15-06-2026,,In Store,,,,,
PC30SLQC,Desktop,IT Hardware,Assembled,,,NA ,Solapur,Solapur,21-09-2018,,In Store,,,,,
PC35SLSF,Desktop,IT Hardware,Assembled,,,6123AA395233,Solapur,Solapur,03-04-2018,,In Store,,,,,
PC36SLSF,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,22-03-2021,,In Store,,,,,
PC37SLST,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,24-11-2013,,In Store,,,,,
PC40SLUT,Desktop,IT Hardware,HCL,,,B123AC498614,Solapur,Solapur,24-05-2022,,In Store,,,,,
PC41SLVP,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,27-06-2026,,In Store,,,,,
PC43SLPD,Desktop,IT Hardware,Dell,,,BQGM583,Solapur,Solapur,24-06-2012,,In Store,,,,,
PC44SLEN,Desktop,IT Hardware,Dell,,,DWT8WC3,Solapur,Solapur,16-08-2021,,In Store,,,,,
PC45SLIT,Desktop,IT Hardware,Dell,,,HST8WC3,Solapur,Solapur,14-06-2014,,In Store,,,,,
PC46SLSC,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,22-10-2020,,In Store,,,,,
PC48SLQC,Desktop,IT Hardware,Dell,,,H2RT9D3,Solapur,Solapur,02-04-2016,,In Store,,,,,
PC50SLIN,Desktop,IT Hardware,Dell,,,CS10JF3,Solapur,Solapur,23-06-2016,,In Store,,,,,
PC51SLQC,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,16-01-2026,,In Store,,,,,
PC53SLQC,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,23-03-2014,,In Store,,,,,
PC54SLST,Desktop,IT Hardware,Dell,,,5M1FRJ3,Solapur,Solapur,21-03-2014,,In Store,,,,,
PC55SLSF,Desktop,IT Hardware,Dell,,,4J1FRJ3,Solapur,Solapur,19-02-2019,,In Store,,,,,
PC56SLQC,Desktop,IT Hardware,Dell,,,7JNN6L3,Solapur,Solapur,22-07-2022,,In Store,,,,,
PC58SLST,Desktop,IT Hardware,Dell,,,2FCWXM3,Solapur,Solapur,28-02-2023,,In Store,,,,,
PC60SLPJ,Desktop,IT Hardware,Dell,,,FDCWXM3,Solapur,Solapur,27-05-2012,,In Store,,,,,
PC61SLQA,Desktop,IT Hardware,Dell,,,8DCWXM3,Solapur,Solapur,30-01-2016,,In Store,,,,,
PC62SLPR,Desktop,IT Hardware,Dell,,,3NDWXM3,Solapur,Solapur,24-06-2014,,In Store,,,,,
PC63SLEL,Desktop,IT Hardware,Dell,,,6NDWXM3,Solapur,Solapur,23-05-2021,,In Store,,,,,
PC64SLPR,Desktop,IT Hardware,Dell,,,43Y5GR3,Solapur,Solapur,10-01-2015,,In Store,,,,,
PC65SLFA,Desktop,IT Hardware,Dell,,,84Y5GR3,Solapur,Solapur,22-09-2012,,In Store,,,,,
PC66SLMT,Desktop,IT Hardware,Dell,,,57512S3,Solapur,Solapur,04-02-2022,,In Store,,,,,
PC67SLPD,Desktop,IT Hardware,Dell,,,F6512S3,Solapur,Solapur,21-11-2022,,In Store,,,,,
PC73SLQC,Desktop,IT Hardware,Dell,,,53112S3,Solapur,Solapur,23-02-2022,,In Store,,,,,
PC74SLQC,Desktop,IT Hardware,Dell,,,43112S3,Solapur,Solapur,28-04-2026,,In Store,,,,,
PC75SLAD,Desktop,IT Hardware,Dell,,,B1P0SR3,Solapur,Solapur,15-10-2012,,In Store,,,,,
PC75SLHR,Desktop,IT Hardware,Dell,,,C0P0SR3,Solapur,Solapur,19-01-2018,,In Store,,,,,
PC77SLST,Desktop,IT Hardware,Dell,,,23P0SR3,Solapur,Solapur,03-11-2025,,In Store,,,,,
PC78SLQC,Desktop,IT Hardware,Dell,,,16VRPT3,Solapur,Solapur,17-08-2014,,In Store,,,,,
PC79SLPJ,Desktop,IT Hardware,Dell,,,FYV0MQ3,Solapur,Solapur,21-11-2017,,In Store,,,,,
PC81SLSF,Desktop,IT Hardware,Dell,,,G0P0SR3,Solapur,Solapur,18-07-2023,,In Store,,,,,
PC83ALIN,Desktop,IT Hardware,Dell,,,D3Y5GR3,Solapur,Solapur,02-10-2013,,In Store,,,,,
PC84SLQC,Desktop,IT Hardware,Dell,,,CR4F824,Solapur,Solapur,13-01-2012,,In Store,,,,,
PC85SLQC,Desktop,IT Hardware,Dell,,,5S4F824,Solapur,Solapur,29-03-2020,,In Store,,,,,
PC86SLQC,Desktop,IT Hardware,Dell,,,FS4F824,Solapur,Solapur,21-03-2025,,In Store,,,,,
PC87SLQC,Desktop,IT Hardware,Hp Pro Tower 280 G9 Pci Desktop Pc,,,1N135101KJ,Solapur,Solapur,20-07-2024,,In Store,,,,,
PC88SLSF,Desktop,IT Hardware,Hp,,,B123AC49875D,Solapur,Solapur,05-12-2014,,In Store,,,,,
PC89SLQC,Desktop,IT Hardware,HP (HP Z2 Workstation),,,,Solapur,Solapur,27-07-2014,,In Store,,,,,
LT35SLTS,Laptop,IT Hardware,HP HP 240 14 inch G9 Notebook PC (9H225PT),,,5CG4243T9F,Solapur,Solapur,21-11-2025,,In Store,,,,,
LT11SLVP,Laptop,IT Hardware,DELL XPS 13 7390,,,BFXX173,Solapur,Solapur,24-05-2026,,In Store,,,,,
LT36SLPD,Laptop,IT Hardware,HP 240R G9 Notebook PC (B10MRAT),,,5CG4350FCY,Solapur,Solapur,21-05-2018,,In Store,,,,,
LT37SLPD,Laptop,IT Hardware,HP 240R G9 Notebook PC (B10MRAT),,,5CG43837TB,Solapur,Solapur,07-03-2020,,In Store,,,,,
PC90SLHR,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,27-03-2015,,In Store,,,,,
PC91SLSF,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,17-10-2017,,In Store,,,,,
PC92SLOP,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,23-09-2021,,In Store,,,,,
PC93SLQC,Desktop,IT Hardware,HP Z2 Tower G9 Workstation Desktop PC,,,4CE451CPFX,Solapur,Solapur,22-06-2016,,In Store,,,,,
LT39SLVP,Laptop,IT Hardware,,,,,Solapur,Solapur,14-01-2016,,In Store,,,,,
PC18SLPD,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,08-07-2015,,In Store,,,,,
PC17SLPD,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,12-02-2012,,In Store,,,,,
LT38SLPD,Laptop,IT Hardware,HP ProBook 440 14 inch G10 Notebook PC,,,-,Solapur,Solapur,22-07-2017,,In Store,,,,,
LT40SLHR,Laptop,IT Hardware,HP240 G10 Notepad PC (78H73AV),,,5CG5093CFZ,Solapur,Solapur,23-12-2022,,In Store,,,,,
PC96SLHR,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,09-11-2015,,In Store,,,,,
PC97SLMT,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,13-11-2024,,In Store,,,,,
PC98SLMT,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,27-02-2021,,In Store,,,,,
PC99SLPD,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,18-05-2020,,In Store,,,,,
PC100SLPD,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,15-06-2012,,In Store,,,,,
PC101SLHR,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,02-08-2021,,In Store,,,,,
PC102SL,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,20-10-2024,,In Store,,,,,
PC103SLQC,Desktop,IT Hardware,HP Workstation Z2 G1i,,,4ce525dng1,Solapur,Solapur,24-11-2017,,In Store,,,,,
PC104SLQC,Desktop,IT Hardware,HP Workstation Z2 G1i,,,4ce525dng2,Solapur,Solapur,19-03-2020,,In Store,,,,,
LT41SLEHS,Laptop,IT Hardware,HP 240RG9 i5-1334U 14 8GB/512 PC (C1YA3AT),,,5CG5261RD0,Solapur,Solapur,12-09-2020,,In Store,,,,,
LT42SLPD,Laptop,IT Hardware,HP 240G10 i3-1315U 14 8GB/512 PC (B94Y6PT),,,5CG5234BRC,Solapur,Solapur,10-06-2026,,In Store,,,,,
LT43SLPD,Laptop,IT Hardware,HP 240RG9 i5-1334U 14 8GB/512 PC (C1YA3AT),,,5CG2527184Q,Solapur,Solapur,06-04-2016,,In Store,,,,,
PC105SLQC,Desktop,IT Hardware,Assembled,,,-,Solapur,Solapur,15-06-2013,,In Store,,,,,
LT25HOHR,Laptop,IT Hardware,ASUS VivoBook Laptop,,,L9N0CX053733389,Solapur,Solapur,02-12-2022,,In Store,,,,,
LT44SLEHS,Laptop,IT Hardware,HP 250RG10 3-100U 15 8GB/512 PC (D2HA9AT),,,5CD55065F0,Solapur,Solapur,07-10-2018,,In Store,,,,,
LT45SLQA,Laptop,IT Hardware,HP 250RG10 3-100U 15 8GB/512 PC (D2HA9AT),,,5CD549B7LJ,Solapur,Solapur,05-04-2017,,In Store,,,,,
LT46SLQC,Laptop,IT Hardware,HP 250RG10 3-100U 15 8GB/512 PC (D2HA9AT,,,5CD549B7SP,Solapur,Solapur,22-11-2014,,In Store,,,,,
